Customer ID,Customer,Month,Contract Value,Revenue Recognized,Cumulative Revenue,Deferred Revenue
CUST-101,Apex Retail Group,2026-01-01,120000.0,10000.0,10000.0,110000.0
CUST-101,Apex Retail Group,2026-02-01,120000.0,10000.0,20000.0,100000.0
CUST-101,Apex Retail Group,2026-03-01,120000.0,10000.0,30000.0,90000.0
CUST-101,Apex Retail Group,2026-04-01,120000.0,10000.0,40000.0,80000.0
CUST-101,Apex Retail Group,2026-05-01,120000.0,10000.0,50000.0,70000.0
CUST-101,Apex Retail Group,2026-06-01,120000.0,10000.0,60000.0,60000.0
CUST-102,Northbridge Health,2026-01-01,96000.0,0.0,0.0,96000.0
CUST-102,Northbridge Health,2026-02-01,96000.0,8000.0,8000.0,88000.0
CUST-102,Northbridge Health,2026-03-01,96000.0,8000.0,16000.0,80000.0
CUST-102,Northbridge Health,2026-04-01,96000.0,8000.0,24000.0,72000.0
CUST-102,Northbridge Health,2026-05-01,96000.0,8000.0,32000.0,64000.0
CUST-102,Northbridge Health,2026-06-01,96000.0,8000.0,40000.0,56000.0
CUST-103,Evergreen Foods,2026-01-01,36000.0,12000.0,12000.0,24000.0
CUST-103,Evergreen Foods,2026-02-01,36000.0,12000.0,24000.0,12000.0
CUST-103,Evergreen Foods,2026-03-01,36000.0,12000.0,36000.0,0.0
CUST-103,Evergreen Foods,2026-04-01,36000.0,12000.0,48000.0,-12000.0
CUST-103,Evergreen Foods,2026-05-01,36000.0,0.0,48000.0,-12000.0
CUST-103,Evergreen Foods,2026-06-01,36000.0,0.0,48000.0,-12000.0
CUST-104,MetroFleet Logistics,2026-01-01,144000.0,12000.0,12000.0,132000.0
CUST-104,MetroFleet Logistics,2026-02-01,144000.0,12000.0,24000.0,120000.0
CUST-104,MetroFleet Logistics,2026-03-01,144000.0,12000.0,36000.0,108000.0
CUST-104,MetroFleet Logistics,2026-04-01,144000.0,12000.0,48000.0,96000.0
CUST-104,MetroFleet Logistics,2026-05-01,144000.0,12000.0,60000.0,84000.0
CUST-104,MetroFleet Logistics,2026-06-01,144000.0,12000.0,72000.0,72000.0
